sex,chest(inch,waist,hip,height,shoes,recommend_mil_top,recommend_mil_pants,recommend_mil_jacket,recommend_inner,recommend_T-shirts,recommend_underpants,recommend_shoes
men,43,35,43,168,270,105-168,85-168,105-173,105,105,105,270
men,43,36,44,174,275,105-173,90-173,105-173,105,105,110,270
men,39,32,40,167,265,95-168,80-168,95-168,95,95,100,270
men,44,36,44,173,270,110-173,90-173,115-173,110,110,110,270
men,38,31,39,181,275,95-178,75-178,95-178,95,95,95,270
men,42,36,44,175,275,105-173,90-173,105-173,105,105,110,270
men,39,31,43,172,265,95-173,75-173,95-173,95,95,105,270
men,43,32,40,173,270,105-173,80-173,105-173,105,105,100,270
men,40,36,44,178,275,100-178,90-178,100-178,100,100,110,270
men,42,34,42,179,280,105-178,85-178,105-178,105,105,105,270
men,44,35,42,172,260,110-173,85-173,115-173,110,110,105,270
men,42,34,42,179,280,105-178,85-178,105-178,105,105,105,270
men,45,35,43,186,290,110-185,85-185,115-183,110,110,105,270
men,42,33,41,185,285,105-185,80-185,105-178,105,105,100,270
men,47,38,46,178,285,115-178,95-178,115-173,115,115,115,270
men,42,35,43,187,295,105-185,85-185,105-187,105,105,105,270
men,39,33,41,168,265,95-168,80-168,95-168,95,95,100,270
men,46,40,47,178,275,115-178,100-178,115-173,115,115,115,270
men,39,32,40,179,270,95-178,80-178,95-178,95,95,100,270
men,40,33,41,180,270,100-178,80-178,100-178,100,100,100,270
men,40,32,40,178,270,100-178,80-178,100-178,100,100,100,270
men,43,34,42,178,280,105-178,85-178,105-178,105,105,105,270
men,37,31,39,164,265,90-168,75-168,90-168,90,90,95,270
men,40,33,41,180,275,100-178,80-178,100-178,100,100,100,270
men,48,43,50,185,290,125-185,110-185,115-183,120,120,125,270
men,39,32,40,179,275,95-178,80-178,95-178,95,95,100,270
men,40,33,41,175,275,100-173,80-173,100-173,100,100,100,270
men,37,30,38,175,275,90-173,75-173,90-173,90,90,95,270
men,38,32,40,175,270,95-173,80-173,95-173,95,95,100,270
men,41,33,39,170,265,100-168,80-168,100-168,100,100,95,270
men,37,30,38,170,250,90-168,75-168,90-168,90,90,95,270
men,37,30,38,166,255,90-168,75-168,90-168,90,90,95,270
men,42,35,43,179,280,105-178,85-178,105-178,105,105,105,270
men,41,33,41,184,270,100-178,80-178,100-178,100,100,100,270
men,40,33,41,181,270,100-178,80-178,100-178,100,100,100,270
men,38,32,40,173,260,95-173,80-173,95-173,95,95,100,270
men,44,37,45,181,285,110-178,90-178,115-183,110,110,110,270
men,38,31,38,171,270,95-173,75-173,95-173,95,95,95,270
men,41,35,43,180,285,100-178,85-178,100-178,100,100,105,270
men,46,42,50,187,295,115-185,110-185,115-183,115,115,125,270
men,39,32,40,177,280,95-173,80-173,95-173,95,95,100,270
men,46,40,46,186,270,115-185,100-185,115-183,115,115,115,270
men,50,42,49,182,280,125-185,105-178,115-183,125,125,120,270
men,48,41,47,185,280,125-185,100-185,115-183,120,120,115,270
men,41,33,41,184,275,100-178,80-178,100-178,100,100,100,270
men,42,34,42,176,275,105-173,85-173,105-173,105,105,105,270
men,41,34,42,177,265,100-173,85-173,100-173,100,100,105,270
men,40,32,40,179,275,100-178,80-178,100-178,100,100,100,270
men,40,34,42,170,265,100-168,85-168,100-168,100,100,105,270
men,45,38,46,174,270,110-173,95-173,115-173,110,110,115,270
men,41,35,43,187,280,100-185,85-185,105-187,100,100,105,270
men,39,32,40,175,270,95-173,80-173,95-173,95,95,100,270
men,43,34,42,178,275,105-178,85-178,105-178,105,105,105,270
men,40,33,41,178,270,100-178,80-178,100-178,100,100,100,270
men,39,33,41,179,280,95-178,80-178,95-178,95,95,100,270
men,38,31,39,169,265,95-168,75-168,95-168,95,95,95,270
men,43,38,46,186,280,105-185,95-185,105-178,105,105,115,270
men,49,41,47,175,280,120-178,100-173,115-173,120,120,115,270
men,43,36,43,174,270,105-173,90-173,105-173,105,105,105,270
men,36,29,37,166,255,90-168,70-173,90-168,90,90,90,270
men,43,35,43,180,275,105-178,85-178,105-178,105,105,105,270
men,42,38,46,181,290,105-178,95-178,105-178,105,105,115,270
men,38,31,39,175,270,95-173,75-173,95-173,95,95,95,270
men,40,33,41,174,275,100-173,80-173,100-173,100,100,100,270
men,40,34,42,181,265,100-178,85-178,100-178,100,100,105,270
men,43,37,45,181,280,105-178,90-178,105-178,105,105,110,270
men,40,33,41,170,260,100-168,80-168,100-168,100,100,100,270
men,41,33,41,183,280,100-178,80-178,100-178,100,100,100,270
men,39,31,39,167,260,95-168,75-168,95-168,95,95,95,270
men,39,32,40,175,260,95-173,80-173,95-173,95,95,100,270
men,40,33,41,175,270,100-173,80-173,100-173,100,100,100,270
men,38,30,38,172,270,95-173,75-173,95-173,95,95,95,270
men,40,32,40,184,290,100-178,80-178,100-178,100,100,100,270
men,40,32,40,172,270,100-173,80-173,100-173,100,100,100,270
men,41,34,42,173,275,100-173,85-173,100-173,100,100,105,270
men,41,33,41,170,270,100-168,80-168,100-168,100,100,100,270
men,40,33,41,175,275,100-173,80-173,100-173,100,100,100,270
men,40,34,42,171,275,100-173,85-173,100-173,100,100,105,270
men,43,33,41,181,275,105-178,80-178,105-178,105,105,100,270
men,39,32,41,175,270,95-173,80-173,95-173,95,95,100,270
men,36,29,39,168,260,90-168,70-173,90-168,90,90,95,270
men,40,33,41,173,265,100-173,80-173,100-173,100,100,100,270
men,39,33,41,177,265,95-173,80-173,95-173,95,95,100,270
men,39,33,41,174,270,95-173,80-173,95-173,95,95,100,270
men,38,33,41,178,275,95-178,80-178,95-178,95,95,100,270
men,39,31,39,175,275,95-173,75-173,95-173,95,95,95,270
men,40,32,41,173,275,100-173,80-173,100-173,100,100,100,270
men,35,30,38,166,270,90-168,75-168,90-168,90,90,95,270
men,38,33,41,178,265,95-178,80-178,95-178,95,95,100,270
men,37,30,39,176,265,90-173,75-173,90-173,90,90,95,270
men,40,36,43,172,270,100-173,90-173,100-173,100,100,105,270
men,45,39,46,174,270,110-173,95-173,115-173,110,110,115,270
men,38,31,39,184,285,95-178,75-178,95-178,95,95,95,270
men,38,33,40,177,280,95-173,80-173,95-173,95,95,100,270
men,36,31,39,173,270,90-173,75-173,90-173,90,90,95,270
men,43,39,47,176,275,105-173,95-173,105-173,105,105,115,270
men,38,32,41,175,295,95-173,80-173,95-173,95,95,100,270
men,41,35,43,175,265,100-173,85-173,100-173,100,100,105,270
men,39,34,42,173,265,95-173,85-173,95-173,95,95,105,270
men,44,39,47,181,285,110-178,95-178,115-183,110,110,115,270
men,42,34,42,170,265,105-168,85-168,105-173,105,105,105,270
men,43,32,41,178,265,105-178,80-178,105-178,105,105,100,270
men,41,34,43,179,280,100-178,85-178,100-178,100,100,105,270
men,47,40,49,176,280,115-178,100-173,115-173,115,115,120,270
men,47,39,47,183,290,115-178,95-178,115-183,115,115,115,270
men,38,30,39,173,270,95-173,75-173,95-173,95,95,95,270
men,39,31,39,178,275,95-178,75-178,95-178,95,95,95,270
men,38,30,38,173,260,95-173,75-173,95-173,95,95,95,270
men,41,33,41,170,255,100-168,80-168,100-168,100,100,100,270
men,43,36,45,180,285,105-178,90-178,105-178,105,105,110,270
men,45,38,47,179,280,110-178,95-178,115-173,110,110,115,270
men,39,35,43,178,280,95-178,85-178,95-178,95,95,105,270
men,38,33,41,187,275,95-185,80-185,95-187,95,95,100,270
men,37,32,40,174,265,90-173,80-173,90-173,90,90,100,270
men,42,39,45,173,265,105-173,95-173,105-173,105,105,110,270
men,35,29,38,167,265,90-168,70-173,90-168,90,90,95,270
men,40,33,41,178,275,100-178,80-178,100-178,100,100,100,270
men,36,31,39,180,270,90-178,75-178,95-178,90,90,95,270
men,41,37,43,174,275,100-173,90-173,100-173,100,100,105,270
men,37,33,40,171,265,90-173,80-173,90-173,90,90,100,270
men,43,36,44,173,280,105-173,90-173,105-173,105,105,110,270
men,36,32,41,174,265,90-173,80-173,90-173,90,90,100,270
men,41,33,41,186,275,100-185,80-185,100-178,100,100,100,270
men,44,41,48,170,265,110-173,100-173,115-173,110,110,120,270
men,45,40,49,181,285,110-178,100-178,115-183,110,110,120,270
men,42,34,43,182,275,105-178,85-178,105-178,105,105,105,270
men,43,39,47,171,265,105-173,95-173,105-173,105,105,115,270
men,46,36,45,184,285,115-178,90-178,115-183,115,115,110,270
men,40,34,43,183,280,100-178,85-178,100-178,100,100,105,270
men,36,31,39,174,275,90-173,75-173,90-173,90,90,95,270
men,41,34,43,177,265,100-173,85-173,100-173,100,100,105,270
men,42,39,46,170,275,105-168,95-173,105-173,105,105,115,270
men,35,30,39,170,275,90-168,75-168,90-168,90,90,95,270
men,37,30,39,177,265,90-173,75-173,90-173,90,90,95,270
men,42,33,41,187,275,105-185,80-185,105-187,105,105,100,270
men,38,31,39,167,265,95-168,75-168,95-168,95,95,95,270
men,45,37,45,174,280,110-173,90-173,115-173,110,110,110,270
men,41,35,43,185,285,100-185,85-185,100-178,100,100,105,270
men,40,31,39,175,275,100-173,75-173,100-173,100,100,95,270
men,38,31,39,176,280,95-173,75-173,95-173,95,95,95,270
men,44,34,43,180,270,110-178,85-178,115-183,110,110,105,270
men,49,39,47,171,280,120-178,95-173,115-173,120,120,115,270
men,39,32,41,176,275,95-173,80-173,95-173,95,95,100,270
men,39,32,41,170,265,95-168,80-168,95-168,95,95,100,270
men,37,31,39,188,285,90-185,75-185,95-187,90,90,95,270
men,45,37,44,170,265,110-173,90-168,115-173,110,110,110,270
men,42,36,45,173,270,105-173,90-173,105-173,105,105,110,270
men,39,31,39,176,270,95-173,75-173,95-173,95,95,95,270
men,38,33,41,181,285,95-178,80-178,95-178,95,95,100,270
men,38,30,39,178,275,95-178,75-178,95-178,95,95,95,270
men,37,32,40,165,265,90-168,80-168,90-168,90,90,100,270
men,38,34,41,182,275,95-178,85-178,95-178,95,95,100,270
men,35,30,39,175,265,90-173,75-173,90-173,90,90,95,270
men,39,34,42,180,280,95-178,85-178,95-178,95,95,105,270
men,42,35,43,186,285,105-185,85-185,105-178,105,105,105,270
men,40,37,45,181,285,100-178,90-178,100-178,100,100,110,270
men,38,34,42,169,260,95-168,85-168,95-168,95,95,105,270
men,37,33,41,178,270,90-178,80-178,95-178,90,90,100,270
men,37,33,41,177,270,90-173,80-173,90-173,90,90,100,270
men,37,33,41,162,260,90-168,80-168,90-168,90,90,100,270
men,37,31,39,171,270,90-173,75-173,90-173,90,90,95,270
men,38,32,41,181,280,95-178,80-178,95-178,95,95,100,270
men,46,40,48,180,285,115-178,100-178,115-183,115,115,120,270
men,39,32,40,180,275,95-178,80-178,95-178,95,95,100,270
men,36,31,39,174,265,90-173,75-173,90-173,90,90,95,270
men,35,30,39,170,270,90-168,75-168,90-168,90,90,95,270
men,42,33,41,182,285,105-178,80-178,105-178,105,105,100,270
men,38,32,41,175,275,95-173,80-173,95-173,95,95,100,270
men,39,32,41,183,280,95-178,80-178,95-178,95,95,100,270
men,49,45,50,192,290,125-185,110-185,115-183,120,120,125,270
men,40,32,41,192,280,100-185,80-185,105-187,100,100,100,270
men,41,37,45,180,285,100-178,90-178,100-178,100,100,110,270
men,36,32,41,168,265,90-168,80-168,90-168,90,90,100,270
men,36,31,39,173,260,90-173,75-173,90-173,90,90,95,270
men,49,44,52,185,280,125-185,110-185,115-183,120,120,125,270
men,42,35,43,178,280,105-178,85-178,105-178,105,105,105,270
men,37,32,40,168,265,90-168,80-168,90-168,90,90,100,270
men,42,38,46,178,275,105-178,95-178,105-178,105,105,115,270
men,41,34,42,171,260,100-173,85-173,100-173,100,100,105,270
men,40,32,40,174,275,100-173,80-173,100-173,100,100,100,270
men,39,34,43,174,265,95-173,85-173,95-173,95,95,105,270
men,35,29,37,170,265,90-168,70-173,90-168,90,90,90,270
men,42,38,46,180,280,105-178,95-178,105-178,105,105,115,270
men,38,32,40,176,275,95-173,80-173,95-173,95,95,100,270
men,40,36,43,175,265,100-173,90-173,100-173,100,100,105,270
men,42,37,41,175,270,105-173,90-173,105-173,105,105,100,270
men,35,30,39,177,275,90-173,75-173,90-173,90,90,95,270
men,35,30,38,170,265,90-168,75-168,90-168,90,90,95,270
men,35,30,38,174,275,90-173,75-173,90-173,90,90,95,270
men,39,35,43,178,270,95-178,85-178,95-178,95,95,105,270
men,36,30,39,172,260,90-173,75-173,90-173,90,90,95,270
men,45,35,43,179,275,110-178,85-178,115-173,110,110,105,270
men,40,32,41,182,275,100-178,80-178,100-178,100,100,100,270
men,40,32,41,171,260,100-173,80-173,100-173,100,100,100,270
men,36,31,39,168,265,90-168,75-168,90-168,90,90,95,270
men,37,32,40,168,260,90-168,80-168,90-168,90,90,100,270
men,46,40,49,185,305,115-185,100-185,115-183,115,115,120,270
men,38,33,41,180,280,95-178,80-178,95-178,95,95,100,270
men,41,36,45,175,280,100-173,90-173,100-173,100,100,110,270
men,38,34,42,177,275,95-173,85-173,95-173,95,95,105,270
men,42,37,44,179,280,105-178,90-178,105-178,105,105,110,270
men,47,42,47,188,280,115-185,110-185,115-183,115,115,115,270
men,40,32,41,175,270,100-173,80-173,100-173,100,100,100,270
men,39,34,42,174,270,95-173,85-173,95-173,95,95,105,270
men,38,31,39,182,290,95-178,75-178,95-178,95,95,95,270
men,37,31,38,163,255,90-168,75-168,90-168,90,90,95,270
men,39,35,43,172,270,95-173,85-173,95-173,95,95,105,270
men,40,36,43,168,270,100-168,90-168,100-168,100,100,105,270
men,36,31,39,173,275,90-173,75-173,90-173,90,90,95,270
men,41,34,42,182,265,100-178,85-178,100-178,100,100,105,270
men,40,35,43,180,280,100-178,85-178,100-178,100,100,105,270
men,39,33,41,170,270,95-168,80-168,95-168,95,95,100,270
men,38,33,41,182,280,95-178,80-178,95-178,95,95,100,270
men,40,33,41,175,270,100-173,80-173,100-173,100,100,100,270
men,39,32,41,174,260,95-173,80-173,95-173,95,95,100,270
men,37,32,39,182,275,90-178,80-178,95-178,90,90,95,270
men,38,31,39,178,265,95-178,75-178,95-178,95,95,95,270
men,48,41,48,178,275,120-178,100-178,115-173,120,120,120,270
men,37,31,39,167,270,90-168,75-168,90-168,90,90,95,270
men,35,28,38,164,260,90-168,70-173,90-168,90,90,95,270
men,39,32,40,178,270,95-178,80-178,95-178,95,95,100,270
men,36,31,39,176,270,90-173,75-173,90-173,90,90,95,270
men,35,29,39,169,265,90-168,70-173,90-168,90,90,95,270
men,40,34,43,170,255,100-168,85-168,100-168,100,100,105,270
men,36,29,37,171,265,90-173,70-173,90-173,90,90,90,270
men,40,33,41,174,280,100-173,80-173,100-173,100,100,100,270
men,43,35,43,173,265,105-173,85-173,105-173,105,105,105,270
men,36,30,39,175,265,90-173,75-173,90-173,90,90,95,270
men,43,34,43,175,275,105-173,85-173,105-173,105,105,105,270
men,42,32,41,168,260,105-168,80-168,105-173,105,105,100,270
men,48,41,48,172,280,120-178,100-173,115-173,120,120,120,270
men,37,30,39,179,275,90-178,75-178,95-178,90,90,95,270
men,37,30,39,175,270,90-173,75-173,90-173,90,90,95,270
men,44,34,43,172,255,110-173,85-173,115-173,110,110,105,270
men,41,36,45,171,275,100-173,90-173,100-173,100,100,110,270
men,38,31,39,177,265,95-173,75-173,95-173,95,95,95,270
men,37,29,39,181,260,90-178,75-178,95-178,90,90,95,270
men,42,34,43,172,275,105-173,85-173,105-173,105,105,105,270
men,47,42,50,169,270,115-178,105-178,115-173,115,115,125,270
men,43,35,43,177,280,105-173,85-173,105-173,105,105,105,270
men,38,31,39,176,280,95-173,75-173,95-173,95,95,95,270
men,38,31,39,172,270,95-173,75-173,95-173,95,95,95,270
men,38,31,39,178,270,95-178,75-178,95-178,95,95,95,270
men,38,31,39,172,260,95-173,75-173,95-173,95,95,95,270
men,38,32,41,171,265,95-173,80-173,95-173,95,95,100,270
men,43,33,41,169,255,105-168,80-168,105-173,105,105,100,270
men,39,33,41,178,275,95-178,80-178,95-178,95,95,100,270
men,44,35,43,184,285,110-178,85-178,115-183,110,110,105,270
men,40,33,41,175,270,100-173,80-173,100-173,100,100,100,270
men,44,37,44,172,275,110-173,90-173,115-173,110,110,110,270
men,41,36,45,175,275,100-173,90-173,100-173,100,100,110,270
men,40,32,41,170,265,100-168,80-168,100-168,100,100,100,270
men,42,36,45,178,275,105-178,90-178,105-178,105,105,110,270
men,40,32,41,168,260,100-168,80-168,100-168,100,100,100,270
men,42,35,43,181,270,105-178,85-178,105-178,105,105,105,270
men,37,31,39,168,265,90-168,75-168,90-168,90,90,95,270
men,46,37,45,183,285,115-178,90-178,115-183,115,115,110,270
men,38,31,39,163,250,95-168,75-168,95-168,95,95,95,270
men,39,32,39,173,265,95-173,80-173,95-173,95,95,95,270
men,42,34,43,174,275,105-173,85-173,105-173,105,105,105,270
men,38,31,39,175,270,95-173,75-173,95-173,95,95,95,270
men,42,33,41,173,270,105-173,80-173,105-173,105,105,100,270
men,39,32,41,179,270,95-178,80-178,95-178,95,95,100,270
men,36,29,39,178,270,90-178,75-178,95-178,90,90,95,270
men,40,32,41,182,275,100-178,80-178,100-178,100,100,100,270
men,37,31,39,172,260,90-173,75-173,90-173,90,90,95,270
men,39,35,42,169,260,95-168,85-168,95-168,95,95,105,270
men,40,33,41,176,270,100-173,80-173,100-173,100,100,100,270
men,40,33,41,178,280,100-178,80-178,100-178,100,100,100,270
men,36,30,39,177,275,90-173,75-173,90-173,90,90,95,270
men,44,35,43,167,260,110-173,85-168,115-173,110,110,105,270
men,42,32,41,173,275,105-173,80-173,105-173,105,105,100,270
men,41,33,41,170,270,100-168,80-168,100-168,100,100,100,270
men,37,30,39,179,275,90-178,75-178,95-178,90,90,95,270
men,41,32,41,178,275,100-178,80-178,100-178,100,100,100,270
men,35,27,36,168,245,90-168,70-173,90-168,90,90,90,270
men,44,37,45,169,270,110-173,90-168,115-173,110,110,110,270
men,42,32,41,180,275,105-178,80-178,105-178,105,105,100,270
men,46,38,46,174,265,115-178,95-173,115-173,115,115,115,270
men,40,33,41,171,260,100-173,80-173,100-173,100,100,100,270
men,38,30,38,171,265,95-173,75-173,95-173,95,95,95,270
men,46,38,46,180,280,115-178,95-178,115-183,115,115,115,270
men,41,33,41,175,270,100-173,80-173,100-173,100,100,100,270
men,39,34,40,171,275,95-173,85-173,95-173,95,95,100,270
men,44,36,44,180,275,110-178,90-178,115-183,110,110,110,270
men,41,35,43,177,280,100-173,85-173,100-173,100,100,105,270
men,45,37,45,174,275,110-173,90-173,115-173,110,110,110,270
men,38,32,40,170,255,95-168,80-168,95-168,95,95,100,270
men,42,36,44,171,265,105-173,90-173,105-173,105,105,110,270
men,40,33,41,170,265,100-168,80-168,100-168,100,100,100,270
men,38,32,40,177,265,95-173,80-173,95-173,95,95,100,270
men,40,34,42,178,275,100-178,85-178,100-178,100,100,105,270
men,42,35,43,175,265,105-173,85-173,105-173,105,105,105,270
men,41,33,41,173,270,100-173,80-173,100-173,100,100,100,270
men,40,32,40,180,255,100-178,80-178,100-178,100,100,100,270
men,39,32,40,178,270,95-178,80-178,95-178,95,95,100,270
men,45,38,46,173,270,110-173,95-173,115-173,110,110,115,270
men,43,35,43,171,270,105-173,85-173,105-173,105,105,105,270
men,41,33,41,182,275,100-178,80-178,100-178,100,100,100,270
men,40,34,42,175,270,100-173,85-173,100-173,100,100,105,270
men,41,35,43,173,270,100-173,85-173,100-173,100,100,105,270
men,50,43,51,179,280,125-185,105-178,115-173,125,125,125,270
men,39,32,40,184,275,95-178,80-178,95-178,95,95,100,270
men,39,32,40,171,260,95-173,80-173,95-173,95,95,100,270
men,39,32,40,164,265,95-168,80-168,95-168,95,95,100,270
men,40,34,42,170,265,100-168,85-168,100-168,100,100,105,270
men,48,40,49,174,280,120-178,100-173,115-173,120,120,120,270
men,38,32,40,174,275,95-173,80-173,95-173,95,95,100,270
men,45,37,45,175,275,110-173,90-173,115-173,110,110,110,270
men,42,35,43,165,265,105-168,85-168,105-173,105,105,105,270
men,41,33,41,174,270,100-173,80-173,100-173,100,100,100,270
men,40,33,41,175,265,100-173,80-173,100-173,100,100,100,270
men,43,37,45,182,285,105-178,90-178,105-178,105,105,110,270
men,40,34,42,179,275,100-178,85-178,100-178,100,100,105,270
men,38,31,39,178,270,95-178,75-178,95-178,95,95,95,270
men,40,32,40,172,265,100-173,80-173,100-173,100,100,100,270
men,39,33,41,173,270,95-173,80-173,95-173,95,95,100,270
men,39,32,40,177,270,95-173,80-173,95-173,95,95,100,270
men,41,37,45,173,270,100-173,90-173,100-173,100,100,110,270
men,39,33,41,173,275,95-173,80-173,95-173,95,95,100,270
men,40,33,41,173,260,100-173,80-173,100-173,100,100,100,270
men,41,34,42,178,275,100-178,85-178,100-178,100,100,105,270
men,40,34,42,175,275,100-173,85-173,100-173,100,100,105,270
men,43,34,42,181,270,105-178,85-178,105-178,105,105,105,270
men,43,36,44,175,270,105-173,90-173,105-173,105,105,110,270
men,41,35,43,177,275,100-173,85-173,100-173,100,100,105,270
men,41,36,44,179,270,100-178,90-178,100-178,100,100,110,270
men,41,34,42,175,270,100-173,85-173,100-173,100,100,105,270
men,45,36,44,180,275,110-178,90-178,115-183,110,110,110,270
men,41,34,42,182,270,100-178,85-178,100-178,100,100,105,270
men,44,36,44,171,275,110-173,90-173,115-173,110,110,110,270
men,44,36,44,181,290,110-178,90-178,115-183,110,110,110,270
men,44,35,43,185,275,110-185,85-185,115-183,110,110,105,270
men,40,35,43,165,265,100-168,85-168,100-168,100,100,105,270
men,41,35,43,174,265,100-173,85-173,100-173,100,100,105,270
